"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 20, 2009","384.50","386.00","389.50","379.25","110.05K","-0.45%"
"Oct 19, 2009","386.25","371.50","387.75","369.25","108.20K","4.04%"
"Oct 18, 2009","371.25","371.25","371.25","371.25","-","-0.20%"
"Oct 16, 2009","372.00","372.50","377.75","368.75","79.58K","-0.27%"
"Oct 15, 2009","373.00","382.00","383.00","368.50","129.29K","-2.61%"
"Oct 14, 2009","383.00","381.25","388.75","377.50","137.99K","0.33%"
"Oct 13, 2009","381.75","379.00","386.75","374.25","151.84K","0.13%"
"Oct 12, 2009","381.25","364.75","383.50","361.75","130.71K","5.24%"
"Oct 09, 2009","362.25","363.00","373.00","358.75","133.10K","-0.48%"
"Oct 08, 2009","364.00","359.00","370.00","358.75","155.04K","1.18%"
"Oct 07, 2009","359.75","357.50","364.00","354.00","102.82K","0.42%"
"Oct 06, 2009","358.25","342.00","370.00","342.00","213.79K","4.90%"
"Oct 05, 2009","341.50","332.75","350.00","327.50","152.34K","2.40%"
"Oct 02, 2009","333.50","339.25","340.50","331.75","89.99K","-2.06%"
"Oct 01, 2009","340.50","341.25","346.00","337.50","86.48K","-1.02%"
"Sep 30, 2009","344.00","340.50","344.25","335.50","99.52K","0.88%"
"Sep 29, 2009","341.00","338.75","347.00","336.25","118.18K","0.66%"
"Sep 28, 2009","338.75","334.00","340.75","329.00","71.78K","1.42%"
"Sep 25, 2009","334.00","334.75","340.75","328.75","124.80K","-0.74%"
"Sep 24, 2009","336.50","327.00","338.00","322.50","117.26K","1.89%"
"Sep 23, 2009","330.25","325.00","337.00","319.00","104.60K","1.38%"
"Sep 22, 2009","325.75","316.25","326.25","315.25","94.16K","3.09%"
"Sep 21, 2009","316.00","316.00","317.50","310.00","88.76K","-0.63%"
"Sep 18, 2009","318.00","328.00","329.25","316.75","75.98K","-3.34%"
"Sep 17, 2009","329.00","335.25","341.50","322.75","104.43K","-2.16%"
"Sep 16, 2009","336.25","344.25","347.75","324.00","164.74K","-2.96%"
"Sep 15, 2009","346.50","317.00","347.75","316.00","252.22K","13.61%"
"Sep 14, 2009","305.00","312.00","316.50","305.00","0.64K","-3.02%"
"Sep 11, 2009","314.50","309.00","314.75","300.00","3.88K","1.62%"
"Sep 10, 2009","309.50","305.25","313.50","305.00","2.03K","1.31%"
"Sep 09, 2009","305.50","302.75","307.50","300.75","2.83K","0.91%"
"Sep 08, 2009","302.75","300.75","306.00","296.75","6.10K","0.75%"
"Sep 04, 2009","300.50","311.00","311.00","300.00","5.91K","-3.38%"
"Sep 03, 2009","311.00","312.75","315.50","307.00","9.59K","-0.72%"
"Sep 02, 2009","313.25","312.50","313.50","309.50","12.83K","0.32%"
"Sep 01, 2009","312.25","325.00","326.00","311.00","30.26K","-4.29%"
"Aug 31, 2009","326.25","320.00","326.00","315.00","36.36K","1.64%"
"Aug 28, 2009","321.00","323.00","326.00","317.25","77.10K","-0.62%"
"Aug 27, 2009","323.00","320.00","324.50","315.00","57.23K","0.78%"
"Aug 26, 2009","320.50","321.25","324.00","318.00","43.90K","-0.31%"
