"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21, 2009","1,007.13","986.63","1,016.00","986.63","-","2.08%"
"Oct 20, 2009","986.63","1,001.50","1,001.50","983.50","-","-1.49%"
"Oct 19, 2009","1,001.50","978.38","1,001.50","978.38","-","2.36%"
"Oct 18, 2009","978.38","978.38","978.38","978.38","-","-0.04%"
"Oct 16, 2009","978.75","982.25","988.00","975.00","-","-0.36%"
"Oct 15, 2009","982.25","994.38","994.38","972.88","-","-1.24%"
"Oct 14, 2009","994.63","992.25","1,008.63","988.38","-","0.25%"
"Oct 13, 2009","992.13","999.50","1,005.25","989.38","-","8.07%"
"Oct 01, 2009","918.00","924.75","932.75","914.75","76.08K","-0.97%"
"Sep 30, 2009","927.00","916.75","931.25","906.50","81.55K","1.09%"
"Sep 29, 2009","917.00","918.50","928.75","910.50","64.29K","-0.27%"
"Sep 28, 2009","919.50","928.75","937.25","912.75","50.39K","-0.70%"
"Sep 25, 2009","926.00","919.00","931.75","916.00","51.46K","0.71%"
"Sep 24, 2009","919.50","915.50","929.75","904.50","67.08K","-0.11%"
"Sep 23, 2009","920.50","921.50","926.00","902.00","63.07K","-0.16%"
"Sep 22, 2009","922.00","912.50","927.25","903.25","76.72K","0.93%"
"Sep 21, 2009","913.50","938.50","939.75","909.25","71.90K","-2.92%"
"Sep 18, 2009","941.00","950.50","958.00","936.00","58.33K","-1.26%"
"Sep 17, 2009","953.00","950.00","962.75","937.25","77.12K","0.26%"
"Sep 16, 2009","950.50","959.00","960.75","928.25","92.23K","-0.99%"
"Sep 15, 2009","960.00","906.50","977.75","901.50","136.10K","3.78%"
"Sep 14, 2009","925.00","990.50","990.50","920.00","0.10K","-6.04%"
"Sep 11, 2009","984.50","969.25","990.00","962.50","0.54K","1.13%"
"Sep 10, 2009","973.50","974.50","979.00","961.50","0.25K","1.25%"
"Sep 09, 2009","961.50","975.00","978.50","960.00","0.37K","-0.77%"
"Sep 08, 2009","969.00","954.25","981.00","951.00","0.30K","0.83%"
"Sep 04, 2009","961.00","982.00","983.75","958.00","0.44K","-2.14%"
"Sep 03, 2009","982.00","1,009.00","1,018.00","969.00","0.93K","-2.70%"
"Sep 02, 2009","1,009.25","1,014.75","1,022.50","1,002.00","0.70K","-0.47%"
"Sep 01, 2009","1,014.00","1,100.00","1,114.25","1,011.75","1.86K","-7.82%"
"Aug 31, 2009","1,100.00","1,139.50","1,147.00","1,094.00","1.85K","-3.15%"
"Aug 28, 2009","1,135.75","1,115.25","1,164.75","1,111.00","7.64K","1.93%"
"Aug 27, 2009","1,114.25","1,091.00","1,116.50","1,090.25","7.60K","2.18%"
"Aug 26, 2009","1,090.50","1,092.50","1,101.50","1,080.00","6.32K","-0.05%"
"Aug 25, 2009","1,091.00","1,077.00","1,108.00","1,072.75","13.50K","1.02%"
"Aug 24, 2009","1,080.00","1,036.25","1,080.00","1,036.25","12.72K","5.57%"
"Aug 21, 2009","1,023.00","1,006.00","1,035.75","998.00","12.43K","2.38%"
"Aug 20, 2009","999.25","997.00","1,007.25","993.75","10.28K","0.23%"
"Aug 19, 2009","997.00","998.00","1,005.00","979.75","9.52K","0.15%"
"Aug 18, 2009","995.50","988.00","1,002.50","976.75","7.89K","0.76%"
"Aug 17, 2009","988.00","1,019.00","1,025.50","977.00","12.98K","-10.18%"
"Aug 14, 2009","1,100.00","1,175.50","1,175.50","1,106.00","0.50K","-7.35%"
"Aug 13, 2009","1,187.25","1,221.50","1,241.25","1,187.25","1.77K","-2.36%"
"Aug 12, 2009","1,216.00","1,210.25","1,226.50","1,190.00","1.66K","-0.04%"
"Aug 11, 2009","1,216.50","1,172.50","1,226.00","1,168.00","2.52K","3.93%"
"Aug 10, 2009","1,170.50","1,167.75","1,194.00","1,166.75","1.85K","-1.18%"
"Aug 07, 2009","1,184.50","1,161.25","1,192.00","1,160.50","0.91K","1.20%"
"Aug 06, 2009","1,170.50","1,174.00","1,176.00","1,149.75","1.15K","-0.38%"
"Aug 05, 2009","1,175.00","1,176.00","1,182.75","1,154.00","2.03K","0.86%"
"Aug 04, 2009","1,165.00","1,168.50","1,178.75","1,160.00","3.03K","-0.72%"
"Aug 03, 2009","1,173.50","1,140.50","1,190.50","1,140.50","5.20K","3.48%"
"Jul 31, 2009","1,134.00","1,127.75","1,140.00","1,110.50","9.09K","0.51%"
"Jul 30, 2009","1,128.25","1,057.25","1,134.25","1,057.25","23.74K","6.69%"
"Jul 29, 2009","1,057.50","1,053.00","1,066.75","1,035.75","21.68K","0.28%"
"Jul 28, 2009","1,054.50","1,022.75","1,059.75","1,020.25","21.47K","3.26%"
"Jul 27, 2009","1,021.25","1,019.25","1,025.75","1,011.25","16.76K","0.02%"
"Jul 24, 2009","1,021.00","1,023.50","1,030.75","1,019.50","16.16K","-0.24%"
"Jul 23, 2009","1,023.50","1,021.00","1,037.00","1,018.00","17.87K","0.49%"
"Jul 22, 2009","1,018.50","1,014.25","1,026.75","1,009.25","13.18K","0.39%"
"Jul 21, 2009","1,014.50","1,034.25","1,040.00","1,005.25","23.01K","-1.79%"
"Jul 20, 2009","1,033.00","1,013.25","1,034.25","1,006.50","16.79K","2.33%"
"Jul 17, 2009","1,009.50","977.25","1,011.00","977.25","20.11K","3.43%"
"Jul 16, 2009","976.00","1,023.50","1,029.00","970.25","38.11K","-4.36%"
"Jul 15, 2009","1,020.50","1,037.00","1,063.75","1,018.00","28.44K","-4.98%"
"Jul 14, 2009","1,074.00","1,079.75","1,090.00","1,058.25","0.26K","-1.60%"
"Jul 13, 2009","1,091.50","1,111.50","1,140.00","1,073.75","0.82K","-3.26%"
"Jul 10, 2009","1,128.25","1,110.00","1,137.00","1,072.25","1.30K","1.60%"
"Jul 09, 2009","1,110.50","1,085.25","1,115.00","1,063.00","1.15K","2.44%"
"Jul 08, 2009","1,084.00","1,138.25","1,146.50","1,079.00","2.53K","-4.37%"
"Jul 07, 2009","1,133.50","1,202.00","1,206.00","1,118.25","4.20K","-5.54%"
"Jul 06, 2009","1,200.00","1,239.00","1,239.00","1,197.00","2.38K","-3.46%"
"Jul 02, 2009","1,243.00","1,258.50","1,258.50","1,223.00","4.08K","-1.23%"
"Jul 01, 2009","1,258.50","1,228.00","1,265.50","1,228.00","10.16K","2.63%"
"Jun 30, 2009","1,226.25","1,220.00","1,232.50","1,190.00","20.91K","0.93%"
"Jun 29, 2009","1,215.00","1,200.00","1,225.25","1,196.00","46.95K","1.17%"
"Jun 26, 2009","1,201.00","1,195.75","1,209.75","1,194.75","49.30K","0.42%"
"Jun 25, 2009","1,196.00","1,182.75","1,202.00","1,180.00","49.31K","0.93%"
"Jun 24, 2009","1,185.00","1,179.00","1,194.50","1,170.50","42.58K","0.51%"
"Jun 23, 2009","1,179.00","1,152.25","1,182.00","1,152.25","41.21K","2.39%"
"Jun 22, 2009","1,151.50","1,184.00","1,184.50","1,150.50","65.48K","-2.33%"
"Jun 19, 2009","1,179.00","1,217.75","1,225.75","1,175.50","67.11K","-2.86%"
"Jun 18, 2009","1,213.75","1,211.00","1,226.00","1,199.00","57.25K","0.62%"
"Jun 17, 2009","1,206.25","1,203.00","1,215.00","1,188.00","72.15K","0.42%"
"Jun 16, 2009","1,201.25","1,202.00","1,219.00","1,187.50","71.11K","0.36%"
"Jun 15, 2009","1,197.00","1,244.00","1,254.50","1,197.00","78.28K","-3.89%"
"Jun 12, 2009","1,245.50","1,268.00","1,281.75","1,235.50","82.87K","-1.70%"
"Jun 11, 2009","1,267.00","1,249.25","1,291.25","1,248.25","114.54K","1.69%"
"Jun 10, 2009","1,246.00","1,240.00","1,255.50","1,237.50","99.29K","0.20%"
"Jun 09, 2009","1,243.50","1,234.00","1,249.00","1,226.75","90.92K","0.89%"
"Jun 08, 2009","1,232.50","1,227.00","1,239.75","1,216.00","87.74K","0.57%"
"Jun 05, 2009","1,225.50","1,231.00","1,236.50","1,211.50","83.37K","-0.37%"
"Jun 04, 2009","1,230.00","1,182.00","1,232.00","1,177.00","92.74K","4.06%"
"Jun 03, 2009","1,182.00","1,210.50","1,212.75","1,181.00","84.92K","-2.23%"
"Jun 02, 2009","1,209.00","1,218.00","1,221.75","1,200.50","71.04K","-0.78%"
"Jun 01, 2009","1,218.50","1,186.00","1,227.00","1,185.75","97.97K","2.91%"
"May 29, 2009","1,184.00","1,177.25","1,193.00","1,175.25","72.11K","0.42%"
"May 28, 2009","1,179.00","1,181.25","1,197.50","1,175.25","77.91K","-0.67%"
"May 27, 2009","1,187.00","1,191.00","1,200.75","1,177.50","94.01K","0.13%"
"May 26, 2009","1,185.50","1,155.25","1,187.50","1,151.00","83.02K","1.67%"
"May 22, 2009","1,166.00","1,174.00","1,184.75","1,164.00","67.14K","-0.77%"
"May 21, 2009","1,175.00","1,166.00","1,177.50","1,150.00","77.54K","0.51%"
"May 20, 2009","1,169.00","1,161.75","1,189.50","1,160.00","101.89K","0.60%"
"May 19, 2009","1,162.00","1,146.00","1,169.50","1,141.00","84.94K","1.35%"
"May 18, 2009","1,146.50","1,125.00","1,148.25","1,113.50","70.54K","1.42%"
"May 15, 2009","1,130.50","1,146.00","1,156.25","1,124.75","80.10K","-3.04%"
"May 14, 2009","1,166.00","1,150.00","1,166.00","1,140.00","0.45K","1.39%"
"May 13, 2009","1,150.00","1,156.75","1,156.75","1,135.00","0.65K","1.10%"
"May 12, 2009","1,137.50","1,129.00","1,139.00","1,115.00","0.79K","0.66%"
"May 11, 2009","1,130.00","1,120.00","1,134.00","1,113.00","1.86K","-0.35%"
"May 08, 2009","1,134.00","1,126.00","1,136.00","1,118.00","2.01K","1.34%"
"May 07, 2009","1,119.00","1,132.25","1,145.00","1,116.00","1.81K","-1.41%"
"May 06, 2009","1,135.00","1,116.25","1,135.00","1,115.25","2.11K","1.70%"
"May 05, 2009","1,116.00","1,120.00","1,127.00","1,107.00","2.64K","0.07%"
