"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2009","36.86","37.63","37.76","36.70","40.81K","-1.65%"
"Oct 27, 2009","37.48","37.63","37.86","37.45","33.87K","-0.40%"
"Oct 26, 2009","37.63","38.10","38.45","37.44","30.22K","-0.91%"
"Oct 25, 2009","37.97","37.97","37.97","37.97","-","0.09%"
"Oct 23, 2009","37.94","38.35","38.75","37.86","40.43K","-0.94%"
"Oct 22, 2009","38.30","38.61","38.61","37.85","40.28K","-0.67%"
"Oct 21, 2009","38.56","37.47","38.76","37.12","49.14K","2.91%"
"Oct 20, 2009","37.47","37.63","37.94","37.11","38.62K","-0.32%"
"Oct 19, 2009","37.59","36.87","37.68","36.80","34.69K","1.84%"
"Oct 18, 2009","36.91","36.91","36.91","36.91","-","-0.08%"
"Oct 16, 2009","36.94","36.76","37.23","36.50","30.62K","0.44%"
"Oct 15, 2009","36.78","36.14","36.98","35.45","47.31K","2.31%"
"Oct 14, 2009","35.95","36.14","36.15","35.93","0.21K","0.25%"
"Oct 13, 2009","35.86","35.76","36.20","35.76","0.78K","-1.21%"
"Oct 12, 2009","36.30","35.30","36.25","35.24","1.26K","3.98%"
"Oct 09, 2009","34.91","34.58","35.19","34.52","0.97K","1.84%"
"Oct 08, 2009","34.28","33.72","34.45","33.72","1.85K","1.63%"
"Oct 07, 2009","33.73","34.00","34.00","33.46","1.39K","-0.62%"
"Oct 06, 2009","33.94","33.75","34.33","33.75","2.23K","1.22%"
"Oct 05, 2009","33.53","33.50","33.86","33.50","2.90K","-0.59%"
"Oct 02, 2009","33.73","34.23","34.23","33.45","6.12K","-1.52%"
"Oct 01, 2009","34.25","33.96","34.55","33.88","6.94K","0.82%"
"Sep 30, 2009","33.97","33.39","34.23","33.16","13.52K","1.49%"
"Sep 29, 2009","33.47","33.36","33.50","32.93","19.68K","0.69%"
"Sep 28, 2009","33.24","34.04","34.18","33.17","16.03K","-2.35%"
"Sep 25, 2009","34.04","34.15","34.35","33.82","17.16K","-0.15%"
"Sep 24, 2009","34.09","34.01","34.39","33.37","12.31K","-0.20%"
"Sep 23, 2009","34.16","34.49","34.49","33.86","8.33K","-1.01%"
"Sep 22, 2009","34.51","33.80","34.49","33.80","8.49K","2.19%"
"Sep 21, 2009","33.77","34.68","34.79","33.78","11.43K","-2.62%"
"Sep 18, 2009","34.68","34.55","35.25","34.41","8.94K","0.38%"
"Sep 17, 2009","34.55","34.23","34.75","34.15","13.14K","0.49%"
"Sep 16, 2009","34.38","34.40","34.43","33.80","8.68K","-0.15%"
"Sep 15, 2009","34.43","33.40","35.64","33.26","15.47K","3.86%"
"Sep 14, 2009","33.15","32.99","33.26","32.99","0.65K","-0.63%"
"Sep 11, 2009","33.36","33.75","33.75","33.30","0.94K","-1.01%"
"Sep 10, 2009","33.70","34.00","34.00","33.62","2.21K","-0.09%"
"Sep 09, 2009","33.73","33.95","34.13","33.82","2.64K","-1.46%"
"Sep 08, 2009","34.23","34.29","34.40","34.19","4.89K","1.72%"
"Sep 04, 2009","33.65","34.17","34.18","33.64","4.43K","-1.26%"
"Sep 03, 2009","34.08","34.12","34.47","33.80","6.46K","-0.12%"
"Sep 02, 2009","34.12","34.53","34.54","34.05","9.88K","-1.19%"
"Sep 01, 2009","34.53","34.99","35.30","34.45","13.58K","-1.31%"
"Aug 31, 2009","34.99","36.07","36.21","34.75","17.86K","-2.99%"
"Aug 28, 2009","36.07","36.50","36.80","35.92","19.47K","-0.39%"
"Aug 27, 2009","36.21","36.58","36.70","35.96","15.02K","-0.69%"
"Aug 26, 2009","36.46","36.65","37.00","36.12","15.35K","-0.22%"
"Aug 25, 2009","36.54","36.95","37.15","36.43","20.51K","-1.54%"
"Aug 24, 2009","37.11","36.41","37.33","36.41","10.15K","2.15%"
"Aug 21, 2009","36.33","35.93","36.65","35.40","16.22K","1.48%"
"Aug 20, 2009","35.80","36.11","36.35","35.76","18.71K","-0.86%"
"Aug 19, 2009","36.11","36.10","36.55","35.53","14.88K","0.47%"
"Aug 18, 2009","35.94","36.06","36.35","35.67","10.71K","0.20%"
"Aug 17, 2009","35.87","37.10","37.31","35.50","24.07K","-3.52%"
