"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 17, 2009","541.75","533.00","547.50","528.00","28.09K","1.59%"
"Jul 16, 2009","533.25","534.00","549.00","528.00","35.04K","-0.28%"
"Jul 15, 2009","534.75","530.00","549.00","527.75","37.77K","6.58%"
"Jul 14, 2009","501.75","515.25","516.00","505.25","0.13K","-2.71%"
"Jul 13, 2009","515.75","493.75","517.00","491.25","1.17K","4.88%"
"Jul 10, 2009","491.75","494.50","495.25","487.75","1.61K","-0.51%"
"Jul 09, 2009","494.25","494.25","497.00","494.25","1.32K","1.18%"
"Jul 08, 2009","488.50","485.50","493.50","485.50","2.80K","0.98%"
"Jul 07, 2009","483.75","491.50","495.50","483.50","6.89K","-1.38%"
"Jul 06, 2009","490.50","499.00","501.00","489.75","7.51K","-1.95%"
"Jul 02, 2009","500.25","507.50","511.00","499.50","11.74K","-1.19%"
"Jul 01, 2009","506.25","517.00","519.50","501.50","14.40K","-0.98%"
"Jun 30, 2009","511.25","529.00","536.50","495.75","21.83K","-3.26%"
"Jun 29, 2009","528.50","534.25","540.00","525.50","49.63K","-1.08%"
"Jun 26, 2009","534.25","533.00","538.00","530.50","29.83K","0.23%"
"Jun 25, 2009","533.00","539.50","541.50","528.00","38.13K","-1.25%"
"Jun 24, 2009","539.75","546.75","552.50","536.75","54.49K","-1.28%"
"Jun 23, 2009","546.75","546.00","552.25","540.75","48.68K","0.14%"
"Jun 22, 2009","546.00","555.00","555.50","542.00","41.10K","-1.67%"
"Jun 19, 2009","555.25","561.00","567.75","552.00","35.55K","-0.89%"
"Jun 18, 2009","560.25","568.00","570.50","556.00","31.96K","-1.02%"
"Jun 17, 2009","566.00","565.50","572.25","555.50","62.65K","0.04%"
"Jun 16, 2009","565.75","576.75","583.50","564.75","37.56K","-1.65%"
"Jun 15, 2009","575.25","587.00","587.25","568.00","38.80K","-1.62%"
"Jun 12, 2009","584.75","592.00","598.00","577.00","38.84K","-1.68%"
"Jun 11, 2009","594.75","596.50","607.50","589.00","49.00K","-0.21%"
"Jun 10, 2009","596.00","613.50","617.25","592.00","64.86K","-2.89%"
"Jun 09, 2009","613.75","598.25","617.50","597.25","61.48K","2.63%"
"Jun 08, 2009","598.00","623.25","625.00","595.75","68.33K","-4.01%"
"Jun 05, 2009","623.00","639.25","639.50","621.00","62.37K","-1.93%"
"Jun 04, 2009","635.25","618.25","642.75","614.25","62.66K","2.87%"
"Jun 03, 2009","617.50","667.25","668.50","614.50","92.74K","-7.77%"
"Jun 02, 2009","669.50","672.00","673.25","658.25","65.95K","-0.74%"
"Jun 01, 2009","674.50","636.75","677.00","636.00","65.79K","5.85%"
"May 29, 2009","637.25","630.25","644.50","625.00","45.98K","1.07%"
"May 28, 2009","630.50","623.75","646.25","618.00","51.78K","0.76%"
"May 27, 2009","625.75","612.75","629.00","610.00","40.00K","2.25%"
"May 26, 2009","612.00","609.25","619.75","602.50","31.80K","-0.08%"
"May 22, 2009","612.50","593.00","618.00","593.00","46.18K","3.20%"
"May 21, 2009","593.50","597.25","601.50","584.50","35.76K","-0.71%"
"May 20, 2009","597.75","587.75","604.75","585.75","37.99K","1.53%"
"May 19, 2009","588.75","589.25","596.25","584.00","34.24K","-0.30%"
"May 18, 2009","590.50","572.00","600.00","563.25","50.77K","2.25%"
"May 15, 2009","577.50","592.00","595.25","575.00","32.41K","-0.69%"
"May 14, 2009","581.50","573.00","581.50","572.00","0.21K","0.48%"
"May 13, 2009","578.75","589.00","589.50","577.75","0.29K","-0.64%"
"May 12, 2009","582.50","584.50","584.50","569.50","0.92K","0.34%"
"May 11, 2009","580.50","575.75","583.00","575.75","1.42K","0.00%"
"May 08, 2009","580.50","566.50","581.25","566.00","0.60K","3.85%"
"May 07, 2009","559.00","554.00","563.00","548.00","1.26K","2.05%"
"May 06, 2009","547.75","541.50","548.75","537.00","3.32K","1.15%"
"May 05, 2009","541.50","543.25","550.00","539.25","4.81K","0.56%"
"May 04, 2009","538.50","546.75","558.00","535.00","5.47K","-3.36%"
"May 01, 2009","557.25","524.75","560.50","524.50","13.25K","6.29%"
"Apr 30, 2009","524.25","521.00","532.75","518.00","30.35K","0.67%"
"Apr 29, 2009","520.75","510.00","523.50","508.75","33.11K","2.01%"
"Apr 28, 2009","510.50","509.75","518.25","507.25","14.38K","0.49%"
"Apr 27, 2009","508.00","531.75","539.00","507.00","22.39K","-4.56%"
"Apr 24, 2009","532.25","530.00","533.75","524.75","15.21K","0.57%"
"Apr 23, 2009","529.25","517.75","533.25","512.00","26.47K","2.42%"
"Apr 22, 2009","516.75","510.50","518.00","509.25","16.25K","1.42%"
"Apr 21, 2009","509.50","504.75","516.50","503.50","29.09K","0.99%"
"Apr 20, 2009","504.50","522.00","525.00","500.75","41.49K","-3.54%"
"Apr 17, 2009","523.00","526.75","531.75","520.00","21.91K","-0.33%"
"Apr 16, 2009","524.75","516.00","527.50","513.50","29.72K","1.84%"
"Apr 15, 2009","515.25","523.00","530.00","514.75","37.56K","-1.34%"
"Apr 14, 2009","522.25","524.00","533.25","518.25","46.97K","-0.19%"
"Apr 13, 2009","523.25","522.00","530.50","515.25","41.38K","0.24%"
"Apr 09, 2009","522.00","532.50","543.50","521.00","57.74K","-1.88%"
"Apr 08, 2009","532.00","540.00","544.75","531.00","46.95K","-1.44%"
"Apr 07, 2009","539.75","557.00","564.50","538.75","52.50K","-3.10%"
"Apr 06, 2009","557.00","566.00","572.75","553.00","31.58K","-1.15%"
"Apr 03, 2009","563.50","551.00","565.00","546.00","43.76K","2.36%"
"Apr 02, 2009","550.50","525.50","552.00","523.50","58.00K","4.76%"
"Apr 01, 2009","525.50","527.75","531.25","515.75","52.52K","-1.36%"
"Mar 31, 2009","532.75","513.75","534.00","508.00","45.38K","3.95%"
"Mar 30, 2009","512.50","509.00","516.00","501.00","25.89K","1.03%"
"Mar 27, 2009","507.25","514.00","517.50","503.00","21.39K","-1.41%"
"Mar 26, 2009","514.50","510.00","518.00","507.25","22.79K","1.28%"
"Mar 25, 2009","508.00","536.00","536.00","506.75","47.77K","-5.05%"
"Mar 24, 2009","535.00","551.75","552.75","530.25","33.87K","-2.59%"
"Mar 23, 2009","549.25","552.00","563.00","545.00","28.74K","-0.18%"
"Mar 20, 2009","550.25","556.25","561.00","541.00","27.81K","-0.90%"
"Mar 19, 2009","555.25","540.50","559.50","537.75","33.37K","4.76%"
"Mar 18, 2009","530.00","554.00","559.00","528.25","39.58K","-4.07%"
"Mar 17, 2009","552.50","540.25","554.75","536.75","41.96K","1.52%"
"Mar 16, 2009","544.25","514.25","546.50","511.50","52.33K","7.45%"
"Mar 13, 2009","506.50","513.00","516.25","506.25","-","-1.70%"
"Mar 12, 2009","515.25","501.50","516.00","501.50","1.37K","3.31%"
"Mar 11, 2009","498.75","522.00","522.50","496.75","0.57K","-4.59%"
"Mar 10, 2009","522.75","525.25","527.50","523.25","0.31K","1.90%"
"Mar 09, 2009","513.00","516.00","516.75","512.75","0.46K","-0.63%"
"Mar 06, 2009","516.25","508.25","522.25","508.25","0.94K","2.43%"
"Mar 05, 2009","504.00","515.00","516.25","503.00","2.13K","-1.51%"
"Mar 04, 2009","511.75","497.00","512.25","497.00","3.93K","4.39%"
"Mar 03, 2009","490.25","496.25","499.00","488.25","7.35K","-0.91%"
"Mar 02, 2009","494.75","508.00","516.00","492.00","10.25K","-3.09%"
"Feb 27, 2009","510.50","515.75","517.50","506.00","23.51K","-0.68%"
"Feb 26, 2009","514.00","526.00","534.00","512.00","25.75K","-2.05%"
"Feb 25, 2009","524.75","517.25","528.75","510.00","20.86K","1.84%"
"Feb 24, 2009","515.25","509.00","517.25","505.00","28.71K","0.93%"
"Feb 23, 2009","510.50","522.00","528.25","508.75","39.71K","-1.69%"
"Feb 20, 2009","519.25","520.00","523.75","504.50","43.53K","-0.05%"
"Feb 19, 2009","519.50","511.00","523.25","510.75","48.89K","1.71%"
"Feb 18, 2009","510.75","516.25","518.25","510.00","30.34K","-0.92%"
"Feb 17, 2009","515.50","536.00","537.25","513.00","50.17K","-3.73%"
"Feb 13, 2009","535.50","539.25","545.50","534.50","29.32K","-0.60%"
"Feb 12, 2009","538.75","544.25","552.25","536.00","38.75K","-0.83%"
"Feb 11, 2009","543.25","553.00","556.50","542.00","42.46K","-2.29%"
"Feb 10, 2009","556.00","563.00","566.00","543.50","47.19K","-1.59%"
"Feb 09, 2009","565.00","560.25","577.00","556.25","43.44K","1.44%"
"Feb 06, 2009","557.00","562.00","570.50","554.00","47.78K","-0.85%"
"Feb 05, 2009","561.75","542.25","567.50","541.50","36.54K","3.60%"
"Feb 04, 2009","542.25","555.50","562.00","538.75","53.93K","-1.86%"
"Feb 03, 2009","552.50","561.75","569.50","551.00","22.78K","-2.00%"
"Feb 02, 2009","563.75","568.00","571.00","551.75","32.64K","-0.75%"
"Jan 30, 2009","568.00","579.00","586.75","566.25","32.17K","-1.73%"
"Jan 29, 2009","578.00","595.00","596.50","573.00","35.76K","-2.90%"
"Jan 28, 2009","595.25","584.25","600.75","580.50","25.39K","1.80%"
"Jan 27, 2009","584.75","594.00","601.00","580.00","25.89K","-1.31%"
"Jan 26, 2009","592.50","583.75","611.00","581.75","36.59K","1.67%"
"Jan 23, 2009","582.75","566.50","598.75","557.00","56.31K","2.82%"
"Jan 22, 2009","566.75","572.00","580.50","558.00","21.36K","-0.87%"
"Jan 21, 2009","571.75","553.00","573.00","551.75","31.13K","3.95%"
"Jan 20, 2009","550.00","579.00","588.75","548.25","38.54K","-4.89%"
"Jan 16, 2009","578.25","568.25","585.00","568.00","25.14K","1.67%"
"Jan 15, 2009","568.75","573.00","577.00","562.75","25.27K","-0.96%"
"Jan 14, 2009","574.25","574.75","581.25","560.50","30.13K","0.61%"
"Jan 13, 2009","570.75","567.00","590.00","561.00","35.21K","0.18%"
"Jan 12, 2009","569.75","629.75","637.50","569.50","40.15K","-9.49%"
"Jan 09, 2009","629.50","613.75","632.00","612.50","32.55K","2.78%"
"Jan 08, 2009","612.50","610.25","620.75","598.00","33.95K","-0.12%"
"Jan 07, 2009","613.25","641.50","646.25","609.50","38.68K","-4.70%"
"Jan 06, 2009","643.50","615.00","645.00","611.50","43.52K","4.34%"
"Jan 05, 2009","616.75","613.00","619.50","596.25","24.45K","0.94%"
"Jan 02, 2009","611.00","606.25","615.00","592.00","23.82K","0.04%"
"Dec 31, 2008","610.75","603.50","615.00","592.00","23.34K","0.99%"
"Dec 30, 2008","604.75","590.25","607.00","584.75","20.38K","2.15%"
"Dec 29, 2008","592.00","599.25","616.00","588.25","22.16K","-1.21%"
"Dec 26, 2008","599.25","582.00","602.50","580.00","10.38K","2.92%"
"Dec 24, 2008","582.25","575.25","585.25","572.50","8.87K","1.22%"
"Dec 23, 2008","575.25","568.75","581.00","553.00","21.74K","1.10%"
"Dec 22, 2008","569.00","565.50","570.20","557.50","13.27K","1.02%"
"Dec 19, 2008","563.25","570.00","570.00","558.00","19.37K","-1.44%"
"Dec 18, 2008","571.50","556.50","575.50","553.50","32.65K","2.51%"
"Dec 17, 2008","557.50","552.75","561.00","540.50","37.43K","2.48%"
"Dec 16, 2008","544.00","519.25","552.00","515.00","33.13K","4.62%"
"Dec 15, 2008","520.00","516.50","535.00","516.00","24.90K","2.61%"
"Dec 12, 2008","506.75","492.00","508.00","476.00","-","3.16%"
"Dec 11, 2008","491.25","490.00","498.75","490.00","0.21K","-0.25%"
"Dec 10, 2008","492.50","471.75","492.50","471.75","0.92K","4.29%"
"Dec 09, 2008","472.25","475.25","478.50","472.00","2.37K","-0.16%"
"Dec 08, 2008","473.00","474.75","481.50","467.00","2.54K","3.33%"
"Dec 05, 2008","457.75","468.25","468.25","455.00","4.16K","-2.14%"
"Dec 04, 2008","467.75","498.25","500.00","467.00","5.28K","-6.59%"
"Dec 03, 2008","500.75","511.00","514.25","500.00","9.25K","-1.77%"
"Dec 02, 2008","509.75","508.00","519.75","504.50","14.58K","0.00%"
"Dec 01, 2008","509.75","541.75","543.00","503.50","19.31K","-6.04%"
"Nov 28, 2008","542.50","545.25","546.25","531.50","21.64K","1.31%"
"Nov 26, 2008","535.50","537.25","546.50","525.50","31.94K","0.28%"
"Nov 25, 2008","534.00","537.75","542.50","528.50","28.22K","-0.65%"
"Nov 24, 2008","537.50","502.25","559.00","501.25","42.60K","7.72%"
"Nov 21, 2008","499.00","507.00","514.00","496.00","28.76K","-2.49%"
"Nov 20, 2008","511.75","521.00","524.75","500.50","39.29K","-2.89%"
"Nov 19, 2008","527.00","530.25","540.50","525.25","24.91K","-0.52%"
"Nov 18, 2008","529.75","535.00","548.50","526.75","32.89K","-0.75%"
"Nov 17, 2008","533.75","551.50","567.00","525.50","43.28K","-3.70%"
"Nov 14, 2008","554.25","550.00","559.75","529.00","51.83K","2.97%"
"Nov 13, 2008","538.25","535.00","568.50","521.25","81.30K","0.98%"
"Nov 12, 2008","533.00","522.00","555.00","507.00","71.63K","1.86%"
"Nov 11, 2008","523.25","519.25","526.00","505.25","51.00K","0.63%"
"Nov 10, 2008","520.00","528.25","536.25","505.25","57.15K","-0.19%"
"Nov 07, 2008","521.00","520.00","529.50","515.00","39.73K","-0.29%"
"Nov 06, 2008","522.50","537.50","539.50","513.50","46.01K","-2.75%"
"Nov 05, 2008","537.25","571.75","580.25","533.25","46.32K","-6.16%"
"Nov 04, 2008","572.50","552.75","587.75","547.50","38.27K","1.87%"
"Nov 03, 2008","562.00","538.75","576.00","532.75","50.52K","3.59%"
"Nov 01, 2008","542.50","538.75","587.75","496.00","827.28K","1.17%"
"Oct 31, 2008","536.25","540.00","545.00","524.00","44.91K","-0.33%"
"Oct 30, 2008","538.00","560.50","578.50","530.50","44.78K","-4.14%"
"Oct 29, 2008","561.25","527.75","574.00","517.00","53.67K","9.19%"
"Oct 28, 2008","514.00","528.75","549.50","511.25","35.32K","-2.93%"
"Oct 27, 2008","529.50","525.50","532.00","502.50","29.85K","2.57%"
"Oct 24, 2008","516.25","534.00","539.50","496.50","36.31K","-1.29%"
"Oct 23, 2008","523.00","520.75","538.00","518.75","30.62K","1.01%"
"Oct 22, 2008","517.75","552.50","553.50","515.00","31.59K","-5.69%"
"Oct 21, 2008","549.00","564.50","571.50","546.00","31.48K","-2.57%"
"Oct 20, 2008","563.50","565.00","579.00","554.00","32.52K","-0.49%"
"Oct 17, 2008","566.25","564.75","571.25","555.00","27.55K","1.98%"
"Oct 16, 2008","555.25","554.75","561.50","543.00","37.72K","-0.09%"
"Oct 15, 2008","555.75","573.25","579.75","554.00","37.00K","-3.01%"
"Oct 14, 2008","573.00","597.00","609.50","570.00","28.67K","-2.63%"
"Oct 13, 2008","588.50","571.00","595.00","565.25","27.60K","4.44%"
"Oct 10, 2008","563.50","586.25","591.75","557.75","40.57K","-6.82%"
"Oct 09, 2008","604.75","609.75","621.50","600.00","29.15K","-0.53%"
"Oct 08, 2008","608.00","604.25","619.50","586.25","29.56K","0.79%"
"Oct 07, 2008","603.25","598.50","616.00","594.00","35.00K","1.34%"
"Oct 06, 2008","595.25","631.75","633.25","588.00","46.05K","-7.03%"
"Oct 03, 2008","640.25","636.75","654.25","631.25","28.24K","0.67%"
"Oct 02, 2008","636.00","669.75","677.75","630.00","37.37K","-5.04%"
"Oct 01, 2008","669.75","683.25","690.25","666.00","31.60K","-1.51%"
"Sep 30, 2008","680.00","668.00","689.50","662.50","45.37K","1.80%"
"Sep 29, 2008","668.00","711.00","715.75","666.00","36.42K","-6.70%"
"Sep 26, 2008","716.00","731.00","735.50","714.75","25.56K","-2.75%"
"Sep 25, 2008","736.25","731.00","741.00","720.00","29.26K","0.82%"
"Sep 24, 2008","730.25","750.25","760.00","723.25","36.28K","-2.70%"
"Sep 23, 2008","750.50","738.00","755.00","725.75","35.88K","1.73%"
"Sep 22, 2008","737.75","721.75","757.75","715.00","44.32K","2.75%"
"Sep 19, 2008","718.00","699.00","722.50","690.75","36.39K","3.64%"
"Sep 18, 2008","692.75","728.00","736.25","688.75","51.32K","-4.55%"
"Sep 17, 2008","725.75","693.25","730.00","686.00","59.17K","5.18%"
"Sep 16, 2008","690.00","725.00","732.00","686.00","58.15K","-5.09%"
"Sep 15, 2008","727.00","728.00","740.00","702.00","46.01K","3.30%"
"Sep 12, 2008","703.75","715.75","725.00","699.00","-","-0.49%"
"Sep 11, 2008","707.25","699.50","714.75","699.50","0.44K","0.07%"
"Sep 10, 2008","706.75","701.00","711.00","698.00","0.44K","-0.67%"
"Sep 09, 2008","711.50","720.75","721.00","700.00","1.51K","-1.56%"
"Sep 08, 2008","722.75","738.00","740.75","720.50","2.12K","-0.96%"
"Sep 05, 2008","729.75","744.50","744.50","721.75","2.98K","-3.38%"
"Sep 04, 2008","755.25","758.75","763.75","751.25","4.73K","0.40%"
"Sep 03, 2008","752.25","744.00","757.25","739.75","6.63K","1.07%"
"Sep 02, 2008","744.25","770.00","770.00","734.25","8.86K","9.45%"
"Sep 01, 2008","680.00","770.00","770.00","662.50","531.82K","-12.74%"
"Aug 29, 2008","779.25","789.00","791.50","778.00","19.88K","-1.24%"
"Aug 28, 2008","789.00","804.25","807.75","779.25","25.40K","-1.71%"
"Aug 27, 2008","802.75","831.25","839.50","797.25","22.64K","-3.34%"
"Aug 26, 2008","830.50","840.00","844.75","810.50","22.77K","-1.16%"
"Aug 25, 2008","840.25","875.00","885.00","839.00","16.85K","-2.92%"
"Aug 22, 2008","865.50","893.00","894.75","863.00","13.44K","-3.54%"
"Aug 21, 2008","897.25","873.75","932.25","870.00","21.93K","2.57%"
"Aug 20, 2008","874.75","843.00","877.75","842.50","18.44K","3.49%"
"Aug 19, 2008","845.25","858.50","873.25","841.00","24.07K","-1.69%"
"Aug 18, 2008","859.75","823.00","875.00","823.00","30.32K","4.31%"
"Aug 15, 2008","824.25","862.50","863.75","815.50","42.93K","-4.66%"
"Aug 14, 2008","864.50","851.00","888.00","834.75","74.92K","1.68%"
"Aug 13, 2008","850.25","790.00","850.25","790.00","57.71K","7.59%"
"Aug 12, 2008","790.25","795.50","800.00","776.25","50.63K","-0.44%"
"Aug 11, 2008","793.75","763.00","814.00","761.75","66.08K","3.72%"
"Aug 08, 2008","765.25","823.00","823.50","762.50","64.07K","-6.93%"
